Pas	Proportion
1298	0.68460
1299	0.68460
1300	0.68460
1301	0.68460
1302	0.68460
1303	0.68460
1304	0.68460
1305	0.68460
1306	0.68460
1307	0.68460
1308	0.68460
1309	0.68460
1310	0.68480
1311	0.68480
1312	0.68480
1313	0.68480
1314	0.68480
1315	0.68480
1316	0.68480
1317	0.68480
1318	0.68480
1319	0.68480
1320	0.68480
1321	0.68480
1322	0.68480
1323	0.68480
1324	0.68490
1325	0.68490
1326	0.68490
1327	0.68490
1328	0.68490
1329	0.68490
1330	0.68500
1331	0.68500
1332	0.68520
1333	0.68520
1334	0.68530
1335	0.68530
1336	0.68530
1337	0.68530
1338	0.68530
1339	0.68530
1340	0.68530
1341	0.68530
1342	0.68530
1343	0.68530
1344	0.68530
1345	0.68530
1346	0.68530
1347	0.68530
1348	0.68530
1349	0.68530
1350	0.68540
1351	0.68540
1352	0.68540
1353	0.68540
1354	0.68540
1355	0.68540
1356	0.68560
1357	0.68560
1358	0.68560
1359	0.68560
1360	0.68560
1361	0.68560
1362	0.68570
1363	0.68570
1364	0.68580
1365	0.68580
1366	0.68580
1367	0.68580
1368	0.68590
1369	0.68590
1370	0.68590
1371	0.68590
1372	0.68590
1373	0.68590
1374	0.68590
1375	0.68590
1376	0.68590
1377	0.68590
1378	0.68590
1379	0.68590
1380	0.68610
1381	0.68610
1382	0.68610
1383	0.68610
1384	0.68610
1385	0.68610
1386	0.68610
1387	0.68610
1388	0.68610
1389	0.68610
1390	0.68610
1391	0.68610
1392	0.68620
1393	0.68620
1394	0.68630
1395	0.68630
1396	0.68630
1397	0.68630
1398	0.68630
1399	0.68630
1400	0.68630
1401	0.68630
1402	0.68630
1403	0.68630
1404	0.68630
1405	0.68630
1406	0.68630
1407	0.68630
1408	0.68650
1409	0.68650
1410	0.68660
1411	0.68660
1412	0.68660
1413	0.68660
1414	0.68660
1415	0.68660
1416	0.68680
1417	0.68680
1418	0.68680
1419	0.68680
1420	0.68680
1421	0.68680
1422	0.68680
1423	0.68680
1424	0.68680
1425	0.68680
1426	0.68680
1427	0.68680
1428	0.68680
1429	0.68680
1430	0.68690
1431	0.68690
1432	0.68690
1433	0.68690
1434	0.68690
1435	0.68690
1436	0.68690
1437	0.68690
1438	0.68690
1439	0.68690
1440	0.68700
1441	0.68700
1442	0.68700
1443	0.68700
1444	0.68700
1445	0.68700
1446	0.68710
1447	0.68710
1448	0.68720
1449	0.68720
1450	0.68730
1451	0.68730
1452	0.68730
1453	0.68730
1454	0.68730
1455	0.68730
1456	0.68740
1457	0.68740
1458	0.68740
1459	0.68740
1460	0.68740
1461	0.68740
1462	0.68740
1463	0.68740
1464	0.68740
1465	0.68740
1466	0.68760
1467	0.68760
1468	0.68770
1469	0.68770
1470	0.68770
1471	0.68770
1472	0.68780
1473	0.68780
1474	0.68780
1475	0.68780
1476	0.68790
1477	0.68790
1478	0.68800
1479	0.68800
1480	0.68800
1481	0.68800
1482	0.68800
1483	0.68800
1484	0.68820
1485	0.68820
1486	0.68820
1487	0.68820
1488	0.68820
1489	0.68820
1490	0.68820
1491	0.68820
1492	0.68820
1493	0.68820
1494	0.68830
1495	0.68830
1496	0.68840
1497	0.68840
1498	0.68840
1499	0.68840
1500	0.68840
1501	0.68840
1502	0.68840
1503	0.68840
1504	0.68850
1505	0.68850
1506	0.68860
1507	0.68860
1508	0.68860
1509	0.68860
1510	0.68860
1511	0.68860
1512	0.68870
1513	0.68870
1514	0.68880
1515	0.68880
1516	0.68880
1517	0.68880
1518	0.68880
1519	0.68880
1520	0.68880
1521	0.68880
1522	0.68880
1523	0.68880
1524	0.68880
1525	0.68880
1526	0.68900
1527	0.68900
1528	0.68900
1529	0.68900
1530	0.68900
1531	0.68900
1532	0.68900
1533	0.68900
1534	0.68900
1535	0.68900
1536	0.68900
1537	0.68900
1538	0.68900
1539	0.68900
1540	0.68910
1541	0.68910
1542	0.68920
1543	0.68920
1544	0.68920
1545	0.68920
1546	0.68930
1547	0.68930
1548	0.68940
